cod_componente	warehouse	ubicazione	lotto	giacenza_disponibile	giacenza_impegnata	giacenza_fisica	scorta_minima	scorta_massima	punto_riordino	lead_time_days	data_snapshot	data_stock	flag_corrente
MOT-SUB-0030	B	SC32	202405-867	295	33	328	58	509	71	85	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-MAIN-0031	A	SC35	202407-653	529	98	627	70	1215	131	75	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SPARE-0032	B	SC35	202408-977	377	68	445	59	872	95	63	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0033	A	SC27	202406-112	515	168	683	83	1033	188	63	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0034	A	SC48	202404-748	526	137	663	69	1060	173	60	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-AUX-0035	C	SC15	202409-575	478	81	559	75	1005	134	54	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0036	C	SC23	202407-557	347	119	466	83	840	122	54	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0037	C	SC33	202409-507	558	71	629	116	1094	178	53	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SUB-0038	C	SC27	202401-766	348	39	387	65	728	79	84	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SUB-0039	A	SC48	202409-988	166	35	201	24	308	59	74	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-AUX-0040	C	SC07	202409-846	339	74	413	42	656	95	49	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SUB-0041	B	SC24	202403-253	353	138	491	89	765	141	46	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SUB-0042	C	SC46	202404-946	410	87	497	94	990	140	90	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SPARE-0043	C	SC06	202402-895	327	57	384	68	753	90	62	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0044	B	SC28	202407-916	352	72	424	65	648	98	64	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-AUX-0045	B	SC20	202405-286	385	154	539	105	1034	116	84	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SUB-0046	C	SC45	202409-855	379	75	454	48	780	116	72	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SUB-0047	B	SC07	202409-146	506	77	583	70	876	138	46	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0048	A	SC40	202402-735	139	33	172	25	304	35	68	2024-09-01 00:00:00	2024-09-01	FALSE
LED-AUX-0049	A	SC19	202409-631	278	89	367	41	684	78	53	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SPARE-0050	B	SC43	202406-341	162	28	190	33	329	56	61	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-AUX-0051	A	SC29	202407-595	326	84	410	64	753	90	80	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0052	B	SC26	202407-755	355	57	412	55	760	119	81	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0053	B	SC40	202406-565	449	65	514	91	968	136	56	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0054	C	SC18	202401-565	271	58	329	53	539	74	52	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0055	C	SC38	202401-948	422	102	524	73	831	140	65	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-AUX-0056	B	SC43	202409-792	95	22	117	20	196	34	69	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SUB-0057	B	SC09	202405-506	413	165	578	96	906	148	55	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0058	B	SC01	202406-286	395	83	478	55	864	141	69	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0059	B	SC47	202407-463	99	12	111	16	206	30	46	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SUB-0060	B	SC21	202401-664	155	41	196	29	307	45	86	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0061	B	SC19	202407-601	386	145	531	59	910	151	64	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0062	C	SC26	202409-437	162	61	223	31	353	46	85	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SPARE-0063	C	SC45	202408-364	419	152	571	70	894	151	63	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SPARE-0064	C	SC02	202409-858	362	62	424	54	643	104	57	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SPARE-0065	A	SC28	202404-173	501	112	613	92	989	142	64	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-AUX-0066	A	SC32	202401-200	385	68	453	60	735	133	78	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0067	B	SC33	202401-732	311	97	408	78	742	88	46	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0068	B	SC46	202402-926	398	90	488	60	799	117	48	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0069	A	SC15	202406-888	258	92	350	57	694	103	83	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0070	C	SC35	202405-757	192	65	257	27	480	53	90	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-MAIN-0071	B	SC49	202409-888	378	144	522	57	921	115	47	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SUB-0072	B	SC49	202405-714	455	67	522	69	856	107	76	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0073	B	SC31	202408-606	202	71	273	45	501	65	89	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SUB-0074	B	SC15	202408-959	73	28	101	15	178	28	71	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0075	A	SC05	202406-530	584	139	723	126	1263	152	60	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SUB-0076	A	SC09	202401-390	730	198	928	160	1465	249	90	2024-09-01 00:00:00	2024-09-01	FALSE
LED-AUX-0077	A	SC16	202409-785	389	44	433	60	682	128	84	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0078	A	SC04	202406-797	908	189	1097	204	1854	270	67	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SPARE-0079	C	SC33	202408-723	437	150	587	65	890	140	58	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0080	B	SC08	202404-251	175	44	219	30	394	45	46	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SUB-0081	C	SC33	202409-175	409	79	488	75	834	133	52	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0082	C	SC20	202402-622	350	91	441	64	729	99	61	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SUB-0083	C	SC19	202405-919	503	197	700	103	1373	146	90	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-AUX-0084	C	SC39	202409-676	439	96	535	78	880	152	71	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0085	C	SC22	202404-591	306	40	346	43	524	98	79	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-MAIN-0086	C	SC22	202404-815	341	42	383	73	749	102	48	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0087	B	SC13	202404-490	343	94	437	81	767	93	60	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0088	C	SC15	202409-495	420	106	526	102	797	126	49	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0089	A	SC37	202407-799	292	77	369	52	665	94	51	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-AUX-0090	C	SC06	202404-840	606	154	760	147	1397	196	64	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0091	B	SC05	202407-129	273	50	323	33	511	94	67	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0092	C	SC39	202404-107	646	79	725	86	1339	193	78	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-AUX-0093	A	SC02	202402-248	281	101	382	74	757	107	52	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-AUX-0094	A	SC48	202407-579	400	53	453	84	854	124	53	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SPARE-0095	C	SC04	202409-503	314	114	428	49	766	116	81	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-AUX-0096	A	SC13	202409-265	168	28	196	26	376	49	45	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-AUX-0097	C	SC14	202409-397	405	169	574	66	942	165	76	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0098	A	SC20	202404-146	136	42	178	29	306	39	55	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0099	A	SC11	202401-276	341	121	462	51	722	120	75	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-AUX-0100	C	SC32	202403-922	447	62	509	100	860	140	75	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-AUX-0101	B	SC02	202401-890	612	186	798	123	1304	231	65	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SUB-0102	A	SC01	202407-115	263	48	311	44	487	87	45	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SPARE-0103	A	SC50	202409-866	236	90	326	47	554	75	60	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-AUX-0104	B	SC10	202407-149	306	118	424	80	759	90	50	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0105	A	SC40	202409-708	590	222	812	90	1457	174	64	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SPARE-0106	C	SC43	202404-368	294	66	360	46	715	91	90	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-MAIN-0107	A	SC24	202407-641	540	112	652	118	1060	169	68	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0108	C	SC04	202404-579	347	125	472	52	905	133	77	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-AUX-0109	B	SC29	202409-123	385	75	460	62	798	104	55	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0110	C	SC32	202409-182	174	51	225	28	410	60	65	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-AUX-0111	A	SC18	202404-782	318	71	389	74	743	84	56	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-MAIN-0112	C	SC40	202403-847	360	102	462	51	698	127	63	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SUB-0113	B	SC07	202408-755	391	54	445	80	674	91	81	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0114	B	SC50	202403-149	336	111	447	62	813	123	52	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0115	B	SC11	202403-556	218	77	295	29	582	77	89	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-MAIN-0116	A	SC09	202402-474	608	79	687	85	1337	180	46	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-AUX-0117	A	SC20	202408-969	132	15	147	24	256	35	74	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0118	B	SC38	202409-908	252	106	358	63	620	83	79	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0119	A	SC41	202409-646	327	106	433	74	701	114	61	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SUB-0120	A	SC44	202409-748	319	70	389	63	634	100	75	2024-09-01 00:00:00	2024-09-01	FALSE
LED-MAIN-0121	C	SC29	202409-296	652	114	766	145	1216	155	86	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0122	B	SC34	202403-574	201	71	272	42	508	58	64	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SPARE-0123	A	SC03	202406-494	400	88	488	78	775	102	90	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0124	A	SC35	202407-265	327	75	402	52	774	110	64	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SUB-0125	B	SC14	202407-167	85	13	98	19	186	29	58	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SUB-0126	A	SC40	202401-487	242	71	313	54	597	87	45	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0127	A	SC05	202407-516	313	47	360	46	546	97	59	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0128	B	SC10	202403-852	546	142	688	87	1267	181	76	2024-09-01 00:00:00	2024-09-01	FALSE
LED-MAIN-0129	C	SC26	202402-358	138	21	159	17	247	37	83	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-MAIN-0130	B	SC27	202403-501	540	130	670	130	1106	148	65	2024-09-01 00:00:00	2024-09-01	FALSE
LED-AUX-0131	A	SC47	202405-346	468	93	561	82	1052	134	55	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0132	B	SC35	202409-614	653	164	817	155	1305	195	46	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SPARE-0133	A	SC19	202404-812	373	102	475	65	828	137	55	2024-09-01 00:00:00	2024-09-01	FALSE
LED-AUX-0134	A	SC14	202409-536	239	60	299	30	524	72	73	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-SUB-0135	A	SC02	202409-872	138	50	188	35	311	53	88	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SUB-0136	C	SC16	202401-327	583	238	821	162	1349	208	48	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0137	C	SC34	202406-537	721	212	933	148	1798	255	56	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-MAIN-0138	B	SC48	202404-565	750	286	1036	124	1572	274	48	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0139	C	SC08	202401-709	581	186	767	113	1434	173	47	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SPARE-0140	C	SC28	202409-625	461	68	529	102	822	123	56	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0141	A	SC19	202408-891	35	13	48	10	95	20	80	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-MAIN-0142	C	SC11	202404-566	349	131	480	73	756	128	59	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-AUX-0143	B	SC17	202401-262	551	156	707	121	1324	170	49	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-SPARE-0144	C	SC41	202404-934	481	150	631	73	982	133	84	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-MAIN-0145	B	SC18	202403-152	115	28	143	15	263	38	86	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-MAIN-0146	A	SC10	202403-536	560	153	713	119	1421	199	54	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-MAIN-0147	B	SC45	202408-703	293	58	351	53	538	71	87	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SPARE-0148	B	SC41	202409-267	367	67	434	44	806	108	61	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SUB-0149	B	SC13	202409-305	295	52	347	56	543	91	77	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0150	A	SC49	202407-254	220	32	252	45	488	60	61	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0151	B	SC48	202409-707	619	197	816	143	1382	237	64	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-MAIN-0152	A	SC22	202409-283	419	55	474	78	734	101	84	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0153	C	SC06	202408-366	513	191	704	77	1365	189	63	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-MAIN-0154	B	SC19	202408-483	339	129	468	62	771	119	75	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SPARE-0155	C	SC17	202406-108	355	130	485	85	939	108	62	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-AUX-0156	A	SC25	202408-615	527	62	589	91	1010	119	90	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-AUX-0157	B	SC14	202402-114	511	106	617	86	1058	158	80	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0158	A	SC43	202407-310	416	102	518	89	928	146	82	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-AUX-0159	C	SC13	202409-890	408	74	482	69	880	119	62	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SUB-0160	C	SC17	202409-619	656	79	735	114	1423	217	84	2024-09-01 00:00:00	2024-09-01	FALSE
LED-AUX-0161	A	SC48	202404-482	431	126	557	99	1081	122	59	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SPARE-0162	C	SC20	202405-223	545	106	651	120	994	142	48	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SPARE-0163	C	SC47	202404-425	259	95	354	37	613	83	90	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-SUB-0164	C	SC12	202409-155	448	100	548	95	984	124	54	2024-09-01 00:00:00	2024-09-01	FALSE
DISP-MAIN-0165	A	SC11	202401-262	290	85	375	38	575	99	89	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-SUB-0166	B	SC41	202409-797	408	78	486	76	782	108	57	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0167	B	SC28	202409-322	335	85	420	55	682	119	88	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SPARE-0168	A	SC18	202409-325	531	182	713	118	1133	183	71	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SPARE-0169	A	SC11	202406-455	459	74	533	70	933	120	49	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-MAIN-0170	B	SC32	202404-481	282	34	316	46	566	76	85	2024-09-01 00:00:00	2024-09-01	FALSE
FAN-MAIN-0171	C	SC35	202409-259	473	115	588	92	1091	175	68	2024-09-01 00:00:00	2024-09-01	FALSE
PWR-SUB-0172	A	SC01	202403-877	510	92	602	78	1029	150	76	2024-09-01 00:00:00	2024-09-01	FALSE
MOT-SUB-0173	C	SC24	202409-821	253	62	315	55	498	73	59	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-SUB-0174	C	SC13	202409-921	384	111	495	78	978	137	61	2024-09-01 00:00:00	2024-09-01	FALSE
SENS-SUB-0175	B	SC28	202409-680	619	91	710	77	1161	172	89	2024-09-01 00:00:00	2024-09-01	FALSE
CONN-AUX-0176	C	SC10	202406-116	440	52	492	77	817	145	83	2024-09-01 00:00:00	2024-09-01	FALSE
CTRL-SUB-0177	B	SC41	202409-474	617	119	736	116	1165	175	56	2024-09-01 00:00:00	2024-09-01	FALSE
PCB-MAIN-0178	B	SC30	202402-423	469	77	546	58	1038	112	58	2024-09-01 00:00:00	2024-09-01	FALSE
BTN-MAIN-0179	B	SC02	202406-925	434	77	511	54	844	152	64	2024-09-01 00:00:00	2024-09-01	FALSE
LED-SUB-0180	C	SC26	202409-464	660	249	909	161	1752	257	49	2024-09-01 00:00:00	2024-09-01	FALSE
