cod_componente	qtà	data_rilevazione	ubicazione	lotto	note
FAN-AUX-0167	725	2024-10-01	MAG-A-SC17	202404-867	
FAN-SPARE-0168	506	2024-10-01	MAG-B-SC30	202410-472	
MOT-SUB-0169	663	2024-10-01	MAG-B-SC02	202406-755	
BTN-SUB-0170	611	2024-10-01	MAG-C-SC40	202409-564	
CTRL-AUX-0171	648	2024-10-01	MAG-C-SC34	202410-327	
PCB-SPARE-0172	13	2024-10-01	MAG-C-SC47	202402-184	SCORTA BASSA - Verificare riordino
CONN-MAIN-0173	420	2024-10-01	MAG-C-SC42	202410-945	
DISP-SPARE-0174	617	2024-10-01	MAG-A-SC48	202407-440	
MOT-AUX-0175	531	2024-10-01	MAG-C-SC42	202407-986	
CTRL-AUX-0176	603	2024-10-01	MAG-B-SC37	202410-371	
CTRL-AUX-0177	548	2024-10-01	MAG-B-SC34	202407-565	
LED-MAIN-0178	606	2024-10-01	MAG-C-SC02	202402-730	
CTRL-AUX-0179	293	2024-10-01	MAG-B-SC40	202406-641	
SENS-MAIN-0180	266	2024-10-01	MAG-A-SC25	202401-233	
